,InvoiceDate,Sales,rolling_mean_7,rolling_mean_30,rolling_std_30
0,2010-12-01 08:26:00,139.12,,,
1,2010-12-01 08:28:00,22.200000000000003,,,
2,2010-12-01 08:34:00,348.78000000000003,,,
3,2010-12-01 08:35:00,17.85,,,
4,2010-12-01 08:45:00,855.86,,,
5,2010-12-01 09:00:00,204.0,,,
6,2010-12-01 09:01:00,22.200000000000003,230.00142857142856,,
7,2010-12-01 09:02:00,259.86,247.25,,
8,2010-12-01 09:09:00,350.4,294.1357142857143,,
9,2010-12-01 09:32:00,588.6600000000001,328.4042857142857,,
10,2010-12-01 09:34:00,22.200000000000003,329.0257142857143,,
11,2010-12-01 09:37:00,444.98,270.3285714285714,,
12,2010-12-01 09:41:00,484.78,310.44,,
13,2010-12-01 09:45:00,430.6,368.78285714285715,,
14,2010-12-01 09:53:00,489.6,401.6028571428572,,
15,2010-12-01 09:56:00,130.85,370.23857142857145,,
16,2010-12-01 09:57:00,508.20000000000005,358.7442857142857,,
17,2010-12-01 09:58:00,3193.92,811.8471428571429,,
18,2010-12-01 09:59:00,226.14,780.5842857142858,,
19,2010-12-01 10:03:00,358.25,762.5085714285715,,
20,2010-12-01 10:19:00,1825.74,961.8142857142857,,
21,2010-12-01 10:29:00,318.14,937.32,,
22,2010-12-01 10:37:00,79.6,929.9985714285714,,
23,2010-12-01 10:39:00,1024.68,1003.7814285714286,,
24,2010-12-01 10:47:00,507.88,620.0614285714286,,
25,2010-12-01 10:51:00,655.36,681.3785714285714,,
26,2010-12-01 10:52:00,448.76,694.3085714285714,,
27,2010-12-01 10:53:00,17.4,435.9742857142857,,
28,2010-12-01 11:21:00,354.23,441.13000000000005,,
29,2010-12-01 11:22:00,357.0,480.7585714285715,489.57466666666664,627.2622021392996
30,2010-12-01 11:27:00,192.60000000000002,361.89,491.3573333333333,626.3071401143059
31,2010-12-01 11:29:00,471.3,356.6642857142857,506.3273333333334,620.0425192646807
32,2010-12-01 11:32:00,326.4,309.67,505.58133333333336,620.2520353340987
33,2010-12-01 11:33:00,353.14,296.01000000000005,516.7576666666666,614.1513411860099
34,2010-12-01 11:34:00,22.200000000000003,296.69571428571425,488.96900000000005,617.1319877792309
35,2010-12-01 11:41:00,783.11,357.9642857142857,508.2726666666667,616.9680445082774
36,2010-12-01 11:45:00,232.03,340.1114285714285,515.267,612.440376352867
37,2010-12-01 11:49:00,453.46,377.3771428571428,521.7203333333333,610.6737722496997
38,2010-12-01 11:57:00,390.79,365.87571428571425,523.0666666666667,610.3274684746809
39,2010-12-01 11:58:00,225.7,351.49000000000007,510.968,612.5757394826852
40,2010-12-01 12:03:00,233.45,334.39142857142855,518.0096666666667,607.9603149451128
41,2010-12-01 12:08:00,666.35,426.4128571428572,525.3886666666666,608.3866348071381
42,2010-12-01 12:12:00,842.12,434.84285714285716,537.3000000000001,611.0564030290154
43,2010-12-01 12:15:00,430.99,463.2657142857143,537.313,611.0540588938835
44,2010-12-01 12:22:00,312.94,443.1914285714286,531.4243333333334,612.3795094641958
45,2010-12-01 12:23:00,308.0,431.36428571428576,537.3293333333334,609.2296948121615
46,2010-12-01 12:27:00,2474.7400000000002,752.6557142857143,602.8806666666667,704.3575224710879
47,2010-12-01 12:31:00,163.34,742.6400000000001,501.86133333333333,510.6125484345743
48,2010-12-01 12:35:00,223.9,679.4328571428571,501.7866666666667,510.65441941137425
49,2010-12-01 12:36:00,95.29,572.7428571428571,493.0213333333333,515.4376104975288
50,2010-12-01 12:38:00,155.52,533.3900000000001,437.3473333333333,452.9361017728608
51,2010-12-01 12:40:00,295.5,530.8985714285715,436.5926666666667,453.1603753710564
52,2010-12-01 12:43:00,313.49,531.6828571428572,444.389,448.79772213717524
53,2010-12-01 12:48:00,4.95,178.8557142857143,410.398,441.8952057890086
54,2010-12-01 12:49:00,188.56,182.45857142857145,399.754,443.30966564289315
55,2010-12-01 12:50:00,203.3,179.5157142857143,384.6853333333334,442.0028138210741
56,2010-12-01 12:51:00,70.80000000000001,176.0171428571429,372.0866666666667,445.4863588943207
57,2010-12-01 12:54:00,136.24,173.26285714285717,376.048,442.7436027957396
